From  2017/01/23-15:30:22 to  2017/03/10-22:37:02 the xmit rate from node 1 to node 1 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/23-15:30:52 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:32:37 to  2017/01/23-15:33:07 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:34:52 to  2017/01/23-15:35:22 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:37:07 to  2017/01/23-15:37:37 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:39:22 to  2017/01/23-15:39:52 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:41:37 to  2017/01/23-15:42:07 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:43:52 to  2017/01/28-06:37:02 the xmit rate from node 1 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:31:07 to  2017/01/23-15:31:37 the xmit rate from node 1 to node 3 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:33:22 to  2017/01/23-15:33:52 the xmit rate from node 1 to node 3 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:35:37 to  2017/01/23-15:36:07 the xmit rate from node 1 to node 3 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:37:52 to  2017/01/23-15:38:22 the xmit rate from node 1 to node 3 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:40:07 to  2017/01/23-15:40:37 the xmit rate from node 1 to node 3 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:31:52 to  2017/01/23-15:32:22 the xmit rate from node 1 to node 4 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:34:07 to  2017/01/23-15:34:37 the xmit rate from node 1 to node 4 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:36:22 to  2017/01/23-15:36:52 the xmit rate from node 1 to node 4 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:38:37 to  2017/01/23-15:39:07 the xmit rate from node 1 to node 4 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:40:52 to  2017/01/23-15:41:22 the xmit rate from node 1 to node 4 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/03/10-22:37:02 the xmit rate from node 2 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/03/10-22:37:02 the xmit rate from node 2 to node 3 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/03/10-22:37:02 the xmit rate from node 2 to node 4 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/03/10-22:37:02 the xmit rate from node 2 to node 5 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/28-06:37:02 the xmit rate from node 2 to node 6 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/03/10-22:37:02 the xmit rate from node 3 to node 2 is    1000000 bytes/sec, confidence 1.000000.
From  2017/01/23-15:30:22 to  2017/01/24-02:37:02 the xmit rate from node 3 to node 3 is    1000000 bytes/sec, confidence 1.000000.
