From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 1 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 1 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 1 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 1 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 1 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 1 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 2 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 2 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/07/19-16:57:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:59:30 to  2017/07/19-16:59:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:01:30 to  2017/07/19-17:01:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:03:30 to  2017/07/19-17:03:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:05:30 to  2017/07/19-17:05:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:07:30 to  2017/07/19-17:07:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:09:30 to  2017/07/19-17:09:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:11:30 to  2017/07/19-17:11:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:13:30 to  2017/07/19-17:13:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:15:30 to  2017/07/19-17:15:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:17:30 to  2017/07/19-17:17:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:19:30 to  2017/07/19-17:19:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:21:30 to  2017/07/19-17:21:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:23:30 to  2017/07/19-17:23:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:25:30 to  2017/07/19-17:25:55 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 3 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 3 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 4 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 4 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 5 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:57:30 to  2017/09/04-00:04:10 the xmit rate from node 5 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-16:58:40 to  2017/07/19-16:59:07 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/19-17:00:40 to  2017/07/19-17:01:07 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
