From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 1 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 1 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 1 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 1 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 2 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 2 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:22:16 to  2017/07/20-15:22:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:24:16 to  2017/07/20-15:24:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:26:16 to  2017/07/20-15:26:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:28:16 to  2017/07/20-15:28:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:30:16 to  2017/07/20-15:30:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:32:16 to  2017/07/20-15:32:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:34:16 to  2017/07/20-15:34:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:36:16 to  2017/07/20-15:36:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:38:16 to  2017/07/20-15:38:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:40:16 to  2017/07/20-15:40:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:42:16 to  2017/07/20-15:42:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:44:16 to  2017/07/20-15:44:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:46:16 to  2017/07/20-15:46:30 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 3 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:18:04 to  2017/09/04-22:24:44 the xmit rate from node 3 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:20:53 to  2017/07/20-15:21:09 the xmit rate from node 3 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:22:53 to  2017/07/20-15:23:09 the xmit rate from node 3 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:24:53 to  2017/07/20-15:25:09 the xmit rate from node 3 to node 5 is     500000 bytes/sec, confidence 1.000000.
