From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 1 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 1 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 1 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 1 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 1 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 1 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 2 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 2 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:49:52 to  2017/07/20-15:50:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:51:52 to  2017/07/20-15:52:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:53:52 to  2017/07/20-15:54:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:55:52 to  2017/07/20-15:56:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:57:52 to  2017/07/20-15:58:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:59:52 to  2017/07/20-16:00:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:01:52 to  2017/07/20-16:02:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:03:52 to  2017/07/20-16:04:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:05:52 to  2017/07/20-16:06:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:07:52 to  2017/07/20-16:08:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:09:52 to  2017/07/20-16:10:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:11:52 to  2017/07/20-16:12:17 the xmit rate from node 2 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 3 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 3 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 4 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 4 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 5 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:43:52 to  2017/09/04-22:50:32 the xmit rate from node 5 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:49:02 to  2017/07/20-15:49:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:51:02 to  2017/07/20-15:51:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:53:02 to  2017/07/20-15:53:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:55:02 to  2017/07/20-15:55:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:57:02 to  2017/07/20-15:57:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-15:59:02 to  2017/07/20-15:59:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:01:02 to  2017/07/20-16:01:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:03:02 to  2017/07/20-16:03:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:05:02 to  2017/07/20-16:05:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-16:07:02 to  2017/07/20-16:07:29 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
