From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 1 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 1 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 1 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 2 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 2 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 2 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 2 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 3 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 3 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 3 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 4 to node 1 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 4 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 4 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 4 to node 7 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 5 to node 2 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 5 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 5 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 5 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 5 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 6 to node 3 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 6 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 6 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 6 to node 9 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 7 to node 4 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 7 to node 7 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 7 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 8 to node 5 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 8 to node 7 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 8 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 8 to node 9 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 9 to node 6 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 9 to node 8 is     500000 bytes/sec, confidence 1.000000.
From  2017/07/20-14:25:13 to  2017/09/04-21:31:53 the xmit rate from node 9 to node 9 is     500000 bytes/sec, confidence 1.000000.
